# ExportDSV: 01/25/17 15:04:38 [ LUA ]
# Data settings:	TYPE	LINEID	NAME
TRACKASSEMBLY_PHYSPROPERTIES	"Wood"	1	"wood"
TRACKASSEMBLY_PHYSPROPERTIES	"Wood"	2	"Wood_Box"
TRACKASSEMBLY_PHYSPROPERTIES	"Wood"	3	"Wood_Furniture"
TRACKASSEMBLY_PHYSPROPERTIES	"Wood"	4	"Wood_Plank"
TRACKASSEMBLY_PHYSPROPERTIES	"Wood"	5	"Wood_Panel"
TRACKASSEMBLY_PHYSPROPERTIES	"Wood"	6	"Wood_Solid"
TRACKASSEMBLY_PHYSPROPERTIES	"Terrain"	1	"dirt"
TRACKASSEMBLY_PHYSPROPERTIES	"Terrain"	2	"grass"
TRACKASSEMBLY_PHYSPROPERTIES	"Terrain"	3	"gravel"
TRACKASSEMBLY_PHYSPROPERTIES	"Terrain"	4	"mud"
TRACKASSEMBLY_PHYSPROPERTIES	"Terrain"	5	"quicksand"
TRACKASSEMBLY_PHYSPROPERTIES	"Terrain"	6	"sand"
TRACKASSEMBLY_PHYSPROPERTIES	"Terrain"	7	"slipperyslime"
TRACKASSEMBLY_PHYSPROPERTIES	"Terrain"	8	"antlionsand"
TRACKASSEMBLY_PHYSPROPERTIES	"Liquid"	1	"slime"
TRACKASSEMBLY_PHYSPROPERTIES	"Liquid"	2	"water"
TRACKASSEMBLY_PHYSPROPERTIES	"Liquid"	3	"wade"
TRACKASSEMBLY_PHYSPROPERTIES	"Frozen"	1	"snow"
TRACKASSEMBLY_PHYSPROPERTIES	"Frozen"	2	"ice"
TRACKASSEMBLY_PHYSPROPERTIES	"Frozen"	3	"gmod_ice"
