#1 ExportTypeDSV:(bobster_s_two_feet_rails@PIECES) 24-10-29 14:46:17 [ LUA ]
#2 PIECES:(	MODEL	TYPE	NAME	LINEID	POINT	ORIGIN	ANGLE	CLASS)
TRACKASSEMBLY_PIECES	"models/bobsters_trains/rails/2ft/misc/cross.mdl"	"Bobster's two feet rails"	"Cross"	1	""	"83,0,3.015"	"NULL"	"NULL"
TRACKASSEMBLY_PIECES	"models/bobsters_trains/rails/2ft/misc/cross.mdl"	"Bobster's two feet rails"	"Cross"	2	""	"0.003,83,3.015"	"0,90,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/bobsters_trains/rails/2ft/misc/cross.mdl"	"Bobster's two feet rails"	"Cross"	3	""	"-83,0.003,3.015"	"0,180,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/bobsters_trains/rails/2ft/misc/cross.mdl"	"Bobster's two feet rails"	"Cross"	4	""	"0,-83,3.015"	"0,-90,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/bobsters_trains/rails/2ft/curves/curve_225_left_1024.mdl"	"Bobster's two feet rails"	"Curve 225 Left 1024"	1	""	"0,0,3.016"	"0,180,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/bobsters_trains/rails/2ft/curves/curve_225_left_1024.mdl"	"Bobster's two feet rails"	"Curve 225 Left 1024"	2	""	"249.471,49.621,3.016"	"0,22.5,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/bobsters_trains/rails/2ft/curves/curve_225_left_2048.mdl"	"Bobster's two feet rails"	"Curve 225 Left 2048"	1	""	"0,0,3.016"	"0,180,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/bobsters_trains/rails/2ft/curves/curve_225_left_2048.mdl"	"Bobster's two feet rails"	"Curve 225 Left 2048"	2	""	"498.941,99.246,3.016"	"0,22.5,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/bobsters_trains/rails/2ft/curves/curve_225_left_512.mdl"	"Bobster's two feet rails"	"Curve 225 Left 512"	1	""	"0,0,3.016"	"0,180,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/bobsters_trains/rails/2ft/curves/curve_225_left_512.mdl"	"Bobster's two feet rails"	"Curve 225 Left 512"	2	""	"124.735,24.812,3.016"	"0,22.5,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/bobsters_trains/rails/2ft/curves/curve_225_right_1024.mdl"	"Bobster's two feet rails"	"Curve 225 Right 1024"	1	""	"0,0,3.016"	"0,180,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/bobsters_trains/rails/2ft/curves/curve_225_right_1024.mdl"	"Bobster's two feet rails"	"Curve 225 Right 1024"	2	""	"249.471,-49.623,3.016"	"0,-22.5,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/bobsters_trains/rails/2ft/curves/curve_225_right_2048.mdl"	"Bobster's two feet rails"	"Curve 225 Right 2048"	1	""	"0,0,3.016"	"0,180,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/bobsters_trains/rails/2ft/curves/curve_225_right_2048.mdl"	"Bobster's two feet rails"	"Curve 225 Right 2048"	2	""	"498.945,-99.237,3.016"	"0,-22.5,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/bobsters_trains/rails/2ft/curves/curve_225_right_512.mdl"	"Bobster's two feet rails"	"Curve 225 Right 512"	1	""	"0,0,3.016"	"0,180,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/bobsters_trains/rails/2ft/curves/curve_225_right_512.mdl"	"Bobster's two feet rails"	"Curve 225 Right 512"	2	""	"124.736,-24.811,3.016"	"0,-22.5,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/bobsters_trains/rails/2ft/curves/curve_45_left_1024.mdl"	"Bobster's two feet rails"	"Curve 45 Left 1024"	1	""	"0,0,3.016"	"0,180,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/bobsters_trains/rails/2ft/curves/curve_45_left_1024.mdl"	"Bobster's two feet rails"	"Curve 45 Left 1024"	2	""	"460.962,190.936,3.016"	"0,45,0"	"NULL"
