# ExportSyncDB: 24-11-25 11:14:11 [ LUA ]
# TRACKASSEMBLY_PIECES:(MODEL	TYPE	NAME)
# Categorize(AlexCookie's 2ft track pack): 740453553
"models/alexcookie/2ft/curve/curve_90_512.mdl"	"AlexCookie's 2ft track pack"	"Curve 90 512"
"models/alexcookie/2ft/misc/end1.mdl"	"AlexCookie's 2ft track pack"	"End1"
"models/alexcookie/2ft/straight/straight_1024.mdl"	"AlexCookie's 2ft track pack"	"Straight 1024"
"models/alexcookie/2ft/straight/straight_128.mdl"	"AlexCookie's 2ft track pack"	"Straight 128"
"models/alexcookie/2ft/straight/straight_256.mdl"	"AlexCookie's 2ft track pack"	"Straight 256"
"models/alexcookie/2ft/straight/straight_32.mdl"	"AlexCookie's 2ft track pack"	"Straight 32"
"models/alexcookie/2ft/straight/straight_512.mdl"	"AlexCookie's 2ft track pack"	"Straight 512"
"models/alexcookie/2ft/straight/straight_64.mdl"	"AlexCookie's 2ft track pack"	"Straight 64"
"models/alexcookie/2ft/switch/switch_90_left_0.mdl"	"AlexCookie's 2ft track pack"	"Switch 90 Left 0"
"models/alexcookie/2ft/switch/switch_90_left_1.mdl"	"AlexCookie's 2ft track pack"	"Switch 90 Left 1"
"models/alexcookie/2ft/switch/switch_90_right_0.mdl"	"AlexCookie's 2ft track pack"	"Switch 90 Right 0"
"models/alexcookie/2ft/switch/switch_90_right_1.mdl"	"AlexCookie's 2ft track pack"	"Switch 90 Right 1"
# Categorize(Battleship's abandoned rails): 807162936
"models/craptrax/curve_cs_std/curve_cs_std_damaged.mdl"	"Battleship's abandoned rails"	"Curve Cs Std Damaged"
"models/craptrax/curve_cs_std/curve_cs_std_nodamage.mdl"	"Battleship's abandoned rails"	"Curve Cs Std Nodamage"
"models/craptrax/curver1/curve_r1_damaged.mdl"	"Battleship's abandoned rails"	"Curve R1 Damaged"
"models/craptrax/curver1/curve_r1_nodamage.mdl"	"Battleship's abandoned rails"	"Curve R1 Nodamage"
"models/craptrax/curver11/curve_r11_damaged.mdl"	"Battleship's abandoned rails"	"Curve R11 Damaged"
"models/craptrax/curver11/curve_r11_nodamage.mdl"	"Battleship's abandoned rails"	"Curve R11 Nodamage"
"models/craptrax/curver2/curve_r2_damaged.mdl"	"Battleship's abandoned rails"	"Curve R2 Damaged"
"models/craptrax/curver2/curve_r2_nodamage.mdl"	"Battleship's abandoned rails"	"Curve R2 Nodamage"
